,Name
1,Bucharest Tango Groove
2,Milongero Nights
3,Embrace Berlic
4,MSTFMediterranean Summer Tango Festival
5,TangoLovers Festival
6,La Viruta Tango Club
7,Tango Tage Halle
8,Mala Junta Berlin
9,NOU Berlin
10,Tango Jam Hamburg
11,Łódź Tango Salon Festival
12,Brussels Tango Festival
13,Lyon Tango Festival
14,La Viruta Tango Club Berlin
15,Sueños de Invierno
16,I Pupi Tango Marathon
17,Prague Tango Marathon
18,Pensalobien Tango Marathon
19,North Greece Tango Marathon
20,Sal Tango Marathon March
21,Secreto Tango Marathon
22,Santa Maradona Marathon
23,UK Tango Championship
24,Belgrade Tango Encuentro
25,Lyon Tango Festival
26,Atlántico Tango Marathon
27,Tango Unchained Festival
28,Vienna Calling Tango Marathon
29,Spring Tango EscapeMay
30,Sal Tango Marathon
31,Sofia tango festival
32,Embrace Berlin
33,Entre Suenos
34,Night and day Marathon
35,Stockholm tango Marathon
36,La cita In spa
37,Istanbul Tango Fiesta
38,Brussels Tango Festival
39,Bratislava Tango Party
40,Catania Tango Weekend
41,Crete tango festival
42,Hamburg Tango Jam
43,Midsummer Tango Fusion
44,Mediterranean Summer Tango Festival
45,Bal Tout Terrain
46,Kaleidoscope
47,Krakus Aires Secreto Marathon
48,Tango Roots Festival
49,Summer Tango Spa
50,Odessa tango d'amore
51,Tangofest Palermo
52,Entre Amigos Marathon
53,Tango Cazino August
54,Moscow Festival Milongero Nights
55,A Los Amigos Tango Festival
56,Sueño de Varsovia
57,Napule Tango Festival September
58,EasyDancing
59,Los Higos
60,Port of Tango
61,Te Quiero Mas
62,Ojos Negros
63,La Grande Belezza
64,Bratislava Tango Festival
65,Bucharest Tango Groove
66,Noches de Hungry
67,Pippos & Friends Marathon
68,Athens Tango Marathon
69,La Viruta Tango Club
70,O’cerasiello November
71,Sultans of Istanbul Tango Festival
72,La Cita Winter Edition
73,New Years Belgrade Tango Marathon
74,Remolino Tango Festival
75,Frostbite
76,Tangoföreningen
77,Singapore International Tango Festival
78,all'Astintango Festival
79,Torino Tango Festival
80,Maison Musique di Rivoli
81,Astintango
82,Festival Bravo
83,European Tango Championship
84,Maison Musique di Rivoli
85,La Mariposa a Milano
86,La Mariposa
87,Astintango Festival
88,Aldobaraldo Torino
89,La Revancha
90,Torino Tango Festival
91,Festival di St.Vincent
92,tanGOTOistanbul